marque,annee,prix_de_vente,kilometrage,carburant,type_vendeur,transmission,proprietaire,consommation,moteur,puissance,nb_sieges
Chevrolet,12,4876,78432,Diesel,Individuel,Manuel,Premier,16.52,1991,123.7,5.0
Renault,8,3525,60000,Essence,Individuel,Manuel,Premier,25.17,799,53.3,5.0
Mahindra,12,3819,142000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Hyundai,10,3408,40000,Essence,Individuel,Manuel,Deuxième,21.1,814,55.2,5.0
Toyota,16,4700,170000,Diesel,Individuel,Manuel,Premier,12.8,2494,102.0,8.0
Maruti,10,2233,60000,Essence,Individuel,Manuel,Deuxième,22.74,796,47.3,5.0
Hyundai,5,11116,60000,Diesel,Individuel,Manuel,Premier,22.1,1396,88.7,5.0
Maruti,10,7050,50000,Diesel,Individuel,Manuel,Deuxième,20.77,1248,88.8,7.0
Honda,6,12925,26000,Essence,Individuel,Automatique,Premier,18.0,1497,117.3,5.0
BMW,6,30550,44000,Diesel,Concessionnaire,Automatique,Premier,22.69,1995,190.0,5.0
Toyota,5,24252,24000,Diesel,Individuel,Manuel,Premier,13.68,2393,147.8,8.0
Hyundai,11,3137,40000,Essence,Individuel,Manuel,Premier,20.36,1197,78.9,5.0
Hyundai,13,3055,110000,Diesel,Individuel,Manuel,Deuxième,16.2,1493,110.0,5.0
Maruti,9,5288,30000,Essence,Individuel,Manuel,Premier,19.1,1197,85.8,5.0
Maruti,21,470,80000,Essence,Individuel,Manuel,Troisième,16.1,796,37.0,4.0
Hyundai,10,5405,80000,Diesel,Individuel,Manuel,Deuxième,22.32,1582,126.32,5.0
Maruti,7,6933,40000,Essence,Individuel,Manuel,Deuxième,20.73,1373,91.1,5.0
Hyundai,8,11339,60000,Diesel,Individuel,Manuel,Premier,19.67,1582,126.2,5.0
Tata,14,2938,146000,Diesel,Individuel,Manuel,Deuxième,13.93,2179,138.0,7.0
Hyundai,12,4700,100000,Diesel,Individuel,Manuel,Deuxième,22.32,1582,126.32,5.0
Maruti,5,7050,69779,Essence,Concessionnaire,Automatique,Premier,22.0,1197,81.8,5.0
Maruti,17,1351,59000,Essence,Individuel,Manuel,Deuxième,16.1,796,37.0,4.0
Hyundai,8,9988,108000,Diesel,Individuel,Manuel,Premier,19.67,1582,126.2,5.0
Maruti,7,7931,52000,Diesel,Individuel,Manuel,Premier,23.65,1248,88.5,5.0
Volvo,4,44650,20000,Diesel,Individuel,Automatique,Premier,18.0,1969,190.0,5.0
Ford,7,5405,73000,Diesel,Individuel,Manuel,Premier,25.83,1498,99.0,5.0
Autres,4,31725,10000,Diesel,Individuel,Automatique,Premier,13.8,2999,174.57,7.0
Chevrolet,15,3525,100000,Diesel,Individuel,Manuel,Deuxième,11.5,1991,147.9,7.0
Maruti,9,2949,30000,Essence,Individuel,Manuel,Premier,22.74,796,47.3,5.0
Hyundai,8,7050,108000,Diesel,Individuel,Manuel,Premier,21.19,1396,88.73,5.0
Tata,4,6228,20000,Essence,Individuel,Manuel,Premier,20.3,1199,83.81,5.0
Maruti,6,4113,27000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Skoda,17,1175,120000,Essence,Individuel,Manuel,Troisième,13.1,1781,149.5,5.0
Maruti,12,3114,90000,Diesel,Individuel,Manuel,Quatrième,19.3,1248,73.9,5.0
Hyundai,11,3525,120000,Essence,Individuel,Manuel,Premier,18.5,1197,82.85,5.0
Toyota,8,12103,190000,Diesel,Individuel,Manuel,Premier,12.99,2494,100.6,7.0
Autres,14,1175,100000,Essence,Individuel,Manuel,Deuxième,15.7,1172,67.0,5.0
Ford,8,4888,40000,Essence,Individuel,Automatique,Premier,17.01,1499,110.4,5.0
Maruti,6,7344,70000,Diesel,Individuel,Manuel,Premier,27.39,1248,74.0,5.0
Autres,12,3525,60000,Diesel,Individuel,Manuel,Premier,20.3,1248,75.0,5.0
Maruti,11,2820,90000,Diesel,Individuel,Manuel,Deuxième,23.2,1248,73.94,5.0
Maruti,8,2938,52000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Maruti,21,4113,60000,Essence,Individuel,Manuel,Premier,11.96,1298,80.0,8.0
Maruti,7,4113,120000,Diesel,Individuel,Manuel,Troisième,23.2,1248,73.94,5.0
Maruti,7,8343,71000,Diesel,Individuel,Manuel,Premier,27.39,1248,74.0,5.0
Maruti,4,7638,5621,Essence,Autre connexion,Automatique,Premier,22.0,1197,81.8,5.0
Tata,9,2233,110000,Diesel,Individuel,Manuel,Deuxième,19.09,1405,69.01,5.0
Maruti,4,11750,15000,Essence,Individuel,Manuel,Premier,19.01,1462,103.2,6.0
Hyundai,6,5288,56290,Diesel,Concessionnaire,Manuel,Premier,24.0,1186,73.97,5.0
BMW,7,29375,30000,Essence,Individuel,Automatique,Deuxième,15.71,1998,189.0,5.0
Toyota,15,3878,193623,Diesel,Individuel,Manuel,Deuxième,12.8,2494,102.0,8.0
Maruti,4,6698,19000,Essence,Individuel,Automatique,Deuxième,20.89,1197,81.8,5.0
Honda,5,10575,35000,Essence,Individuel,Manuel,Premier,17.5,1199,88.7,5.0
Maruti,7,5405,60000,Essence,Individuel,Manuel,Deuxième,20.85,1197,83.14,5.0
Tata,12,2938,70000,Diesel,Individuel,Manuel,Premier,19.0,1248,90.0,5.0
Maruti,6,3713,25000,Essence,Individuel,Manuel,Premier,24.7,796,47.3,5.0
Mahindra,10,7050,91000,Diesel,Individuel,Manuel,Premier,15.1,2179,140.0,7.0
Maruti,7,7626,70000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Hyundai,15,2056,61000,Diesel,Concessionnaire,Manuel,Deuxième,17.1,1493,110.0,5.0
Tata,11,1645,195000,Diesel,Individuel,Manuel,Deuxième,21.12,1248,88.8,5.0
Hyundai,4,6933,10000,Essence,Individuel,Manuel,Premier,18.6,1197,81.86,5.0
Maruti,10,2644,58343,Essence,Autre connexion,Manuel,Premier,21.79,998,67.05,5.0
Maruti,12,3525,300000,GPL,Individuel,Manuel,Premier,36.68,998,58.2,5.0
Maruti,5,8813,15000,Essence,Concessionnaire,Manuel,Premier,22.0,1197,81.8,5.0
Renault,8,6463,240000,Diesel,Individuel,Manuel,Premier,19.98,1461,108.5,7.0
Maruti,15,1293,48676,Essence,Individuel,Manuel,Premier,19.7,796,35.0,8.0
Maruti,12,3231,165000,Diesel,Individuel,Manuel,Premier,21.1,1248,73.9,5.0
Toyota,8,15569,114368,Diesel,Concessionnaire,Manuel,Deuxième,12.99,2494,100.6,7.0
Maruti,5,8225,60000,Diesel,Individuel,Manuel,Premier,28.4,1248,74.0,5.0
Maruti,11,3525,70000,Diesel,Individuel,Manuel,Premier,23.2,1248,73.94,5.0
Tata,4,7638,15000,Diesel,Individuel,Manuel,Premier,22.95,1248,74.0,5.0
Hyundai,6,13513,27000,Diesel,Individuel,Manuel,Deuxième,19.67,1582,126.2,5.0
Honda,7,5699,30000,Essence,Individuel,Manuel,Premier,18.7,1199,88.7,5.0
Hyundai,6,8225,30000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Honda,7,6463,56494,Essence,Autre connexion,Manuel,Premier,18.2,1199,88.7,5.0
Chevrolet,9,3525,50000,Essence,Individuel,Manuel,Premier,18.2,1199,82.4,5.0
Hyundai,8,5640,70000,Diesel,Individuel,Manuel,Premier,24.4,1120,71.0,5.0
Honda,8,7626,39000,Essence,Concessionnaire,Manuel,Premier,17.4,1497,117.3,5.0
Maruti,6,4935,60000,GNC,Individuel,Manuel,Premier,37.24,998,58.16,5.0
Honda,5,7050,20000,Essence,Individuel,Manuel,Premier,19.5,1199,88.76,5.0
Hyundai,8,5758,45900,Essence,Individuel,Manuel,Deuxième,18.6,1197,81.83,5.0
Volkswagen,10,4113,50000,Essence,Individuel,Manuel,Quatrième,16.47,1198,73.9,5.0
Tata,4,7755,35000,Diesel,Individuel,Manuel,Premier,22.95,1248,74.0,5.0
Maruti,9,2996,40000,Essence,Individuel,Manuel,Deuxième,20.92,998,67.1,5.0
Maruti,15,1880,123000,Essence,Individuel,Manuel,Troisième,17.5,1298,85.8,5.0
Hyundai,5,6933,10000,Essence,Individuel,Manuel,Premier,18.9,1197,81.86,5.0
Maruti,5,8695,38817,Diesel,Concessionnaire,Manuel,Premier,27.39,1248,74.0,5.0
Honda,7,7931,53201,Essence,Autre connexion,Manuel,Deuxième,17.8,1497,117.3,5.0
Toyota,6,7344,25538,Essence,Autre connexion,Manuel,Premier,16.78,1496,88.73,5.0
Maruti,12,3936,15000,Essence,Individuel,Manuel,Premier,17.5,1298,85.8,5.0
Tata,12,2221,70000,Diesel,Individuel,Manuel,Deuxième,23.57,1396,70.0,5.0
Maruti,14,1763,110000,Essence,Individuel,Manuel,Premier,15.0,1586,104.68,5.0
Hyundai,7,9694,39000,Diesel,Concessionnaire,Manuel,Premier,21.38,1396,88.7,5.0
Toyota,10,8813,79328,Diesel,Autre connexion,Manuel,Deuxième,12.99,2494,100.6,7.0
Maruti,8,4113,40000,Essence,Individuel,Manuel,Deuxième,20.51,998,67.04,5.0
Maruti,14,1763,60000,Essence,Individuel,Manuel,Deuxième,18.9,1061,67.0,5.0
Honda,6,11163,15000,Essence,Individuel,Automatique,Premier,15.4,1497,117.3,7.0
Chevrolet,10,7837,65000,Diesel,Individuel,Manuel,Premier,14.6,2231,184.0,7.0
Maruti,18,940,40000,Essence,Individuel,Manuel,Deuxième,19.7,796,46.3,5.0
Honda,6,20563,73000,Essence,Concessionnaire,Automatique,Premier,12.0,2354,187.4,5.0
Tata,11,2891,35000,Diesel,Individuel,Manuel,Deuxième,23.03,1396,69.0,5.0
Hyundai,10,6815,80000,Diesel,Individuel,Manuel,Deuxième,22.32,1582,126.32,5.0
Maruti,15,1998,80000,Essence,Individuel,Manuel,Troisième,16.1,1298,88.2,5.0
Ford,12,2820,80000,Essence,Individuel,Manuel,Deuxième,16.6,1388,68.0,5.0
Mahindra,7,8225,30000,Diesel,Individuel,Manuel,Premier,18.49,1493,100.0,7.0
Chevrolet,10,1410,110000,Essence,Individuel,Manuel,Deuxième,18.2,1199,84.8,5.0
Ford,8,5887,80000,Diesel,Individuel,Manuel,Deuxième,25.01,1498,89.75,5.0
Volvo,4,44650,20000,Diesel,Individuel,Automatique,Premier,18.0,1969,190.0,5.0
Maruti,9,5875,77000,Diesel,Concessionnaire,Manuel,Premier,28.4,1248,74.0,5.0
Maruti,4,7638,5621,Essence,Autre connexion,Automatique,Premier,22.0,1197,81.8,5.0
Maruti,8,3936,30000,Essence,Individuel,Manuel,Premier,20.51,998,67.04,5.0
Mercedes-Benz,15,6051,120000,Diesel,Individuel,Automatique,Deuxième,14.84,2143,170.0,5.0
Honda,7,5875,41000,Essence,Individuel,Manuel,Premier,18.7,1199,88.7,5.0
Tata,13,2468,120000,Diesel,Individuel,Manuel,Premier,21.12,1248,88.8,5.0
Hyundai,8,3525,45000,Essence,Individuel,Manuel,Premier,21.1,814,55.2,5.0
Renault,5,4700,60000,Essence,Individuel,Manuel,Premier,23.01,999,67.0,5.0
Maruti,11,1763,76000,Essence,Individuel,Manuel,Premier,16.1,796,37.0,4.0
BMW,12,12631,42545,Diesel,Concessionnaire,Automatique,Premier,19.62,1998,190.0,5.0
Tata,7,5170,20000,Diesel,Individuel,Manuel,Premier,19.09,1405,69.01,5.0
Maruti,10,2644,58343,Essence,Autre connexion,Manuel,Premier,21.79,998,67.05,5.0
Mahindra,5,10458,80000,Diesel,Individuel,Manuel,Premier,16.5,1493,70.0,7.0
Maruti,8,6756,16000,Essence,Concessionnaire,Manuel,Premier,19.1,1197,85.8,5.0
Toyota,11,3267,120000,Diesel,Individuel,Manuel,Deuxième,23.59,1364,67.1,5.0
Maruti,9,7638,90000,Diesel,Individuel,Manuel,Premier,20.77,1248,88.8,7.0
Maruti,5,6756,20000,Essence,Individuel,Manuel,Premier,21.4,1197,83.1,5.0
Toyota,8,12338,120000,Diesel,Individuel,Manuel,Premier,12.99,2494,100.6,7.0
Mahindra,9,6228,120000,Diesel,Individuel,Manuel,Troisième,15.96,2523,62.1,7.0
Toyota,13,4113,60000,Essence,Individuel,Manuel,Deuxième,14.53,1798,138.0,5.0
Tata,8,1939,25000,Essence,Individuel,Manuel,Premier,25.4,624,37.5,4.0
Honda,16,4113,90000,Essence,Individuel,Automatique,Premier,12.9,1799,130.0,5.0
Tata,12,4113,58000,Diesel,Individuel,Manuel,Deuxième,13.93,2179,138.1,7.0
Toyota,12,5875,121941,Diesel,Concessionnaire,Manuel,Premier,12.8,2494,102.0,8.0
Hyundai,11,6451,66657,Diesel,Concessionnaire,Automatique,Premier,22.32,1582,126.32,5.0
Hyundai,12,4230,80000,Diesel,Individuel,Manuel,Deuxième,22.32,1582,126.32,5.0
Maruti,10,1998,60000,Essence,Individuel,Manuel,Deuxième,22.74,796,47.3,5.0
Hyundai,9,3525,30000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Tata,12,3760,80000,Diesel,Individuel,Manuel,Premier,13.93,2179,138.03,7.0
Jaguar,6,31854,9000,Diesel,Concessionnaire,Automatique,Premier,13.6,1999,177.0,5.0
Hyundai,16,2879,121000,Diesel,Individuel,Manuel,Deuxième,18.1,1493,110.0,5.0
Ford,12,2409,100000,Diesel,Individuel,Manuel,Deuxième,20.0,1399,68.0,5.0
Volkswagen,12,3525,100000,Diesel,Individuel,Manuel,Deuxième,20.54,1598,103.6,5.0
Maruti,6,6698,35000,Essence,Individuel,Manuel,Premier,21.4,1197,83.1,5.0
Mahindra,9,7050,122000,Diesel,Individuel,Manuel,Deuxième,15.1,2179,140.0,7.0
Chevrolet,16,1175,60000,Essence,Individuel,Manuel,Troisième,14.7,1150,76.0,5.0
Hyundai,9,5699,28800,Essence,Concessionnaire,Manuel,Premier,18.6,1197,81.83,5.0
Mahindra,8,5229,40200,Diesel,Concessionnaire,Manuel,Premier,21.0,1498,74.96,7.0
Chevrolet,12,1645,70000,Diesel,Individuel,Manuel,Quatrième,25.44,936,57.6,5.0
Maruti,8,5288,35000,Essence,Individuel,Manuel,Deuxième,20.4,1197,83.11,5.0
Tata,10,2679,60000,Diesel,Individuel,Manuel,Deuxième,25.0,1396,69.01,5.0
Nissan,12,4113,47000,Essence,Individuel,Manuel,Deuxième,16.95,1498,97.7,5.0
Tata,13,1998,150000,Diesel,Individuel,Manuel,Troisième,21.12,1248,88.8,5.0
Ford,12,2585,155000,Diesel,Individuel,Manuel,Deuxième,17.8,1399,68.0,5.0
Hyundai,10,4230,144000,Diesel,Individuel,Manuel,Premier,21.9,1396,88.8,5.0
Hyundai,6,13513,63309,Diesel,Concessionnaire,Manuel,Premier,19.67,1582,126.2,5.0
Maruti,5,9988,59000,Diesel,Individuel,Manuel,Premier,24.2,1498,93.87,7.0
Hyundai,5,6698,25000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Hyundai,7,9400,80000,Essence,Individuel,Automatique,Deuxième,17.01,1591,121.3,5.0
Tata,5,18506,30000,Diesel,Individuel,Manuel,Premier,17.6,2179,153.86,7.0
Maruti,12,2468,35000,Essence,Individuel,Manuel,Deuxième,20.92,998,67.1,5.0
Maruti,4,7638,5621,Essence,Autre connexion,Automatique,Premier,22.0,1197,81.8,5.0
Autres,4,60513,20000,Essence,Concessionnaire,Automatique,Premier,22.37,2487,214.56,5.0
Maruti,5,8695,38817,Diesel,Concessionnaire,Manuel,Premier,27.39,1248,74.0,5.0
Volkswagen,7,9400,70000,Essence,Individuel,Automatique,Premier,16.34,1798,189.3,5.0
Autres,12,2996,100000,Diesel,Individuel,Manuel,Troisième,20.3,1248,75.0,5.0
Renault,10,3408,90000,Diesel,Individuel,Manuel,Premier,23.08,1461,63.12,5.0
Skoda,5,11163,40000,Diesel,Individuel,Manuel,Premier,21.13,1498,108.6,5.0
Tata,5,5288,5000,Essence,Individuel,Manuel,Premier,23.84,1199,84.0,5.0
Maruti,11,3643,120000,Diesel,Individuel,Manuel,Premier,19.3,1248,73.9,5.0
Hyundai,4,6463,15000,Essence,Individuel,Manuel,Premier,18.9,1197,81.86,5.0
Honda,4,14417,5000,Essence,Individuel,Automatique,Premier,18.0,1497,117.6,5.0
Ford,11,3819,150000,Diesel,Individuel,Manuel,Premier,20.0,1399,68.0,5.0
Tata,13,1763,29000,Essence,Individuel,Manuel,Premier,16.5,1172,65.0,5.0
Nissan,8,5863,61000,Diesel,Concessionnaire,Manuel,Deuxième,22.71,1461,84.8,5.0
Autres,6,48175,17000,Essence,Individuel,Automatique,Premier,9.5,3604,280.0,5.0
Skoda,16,2291,175000,Diesel,Individuel,Manuel,Deuxième,18.7,1896,66.0,5.0
Hyundai,7,4994,50000,Essence,Individuel,Manuel,Premier,19.81,1086,68.05,5.0
Ford,4,11163,16034,Diesel,Concessionnaire,Manuel,Premier,21.7,1498,98.96,5.0
Hyundai,12,2585,70000,Essence,Individuel,Manuel,Troisième,20.36,1197,78.9,5.0
Toyota,10,8813,79328,Diesel,Autre connexion,Manuel,Deuxième,12.99,2494,100.6,7.0
Maruti,13,1763,70000,Essence,Individuel,Manuel,Deuxième,18.9,1061,67.0,5.0
Hyundai,9,4994,60000,Diesel,Individuel,Manuel,Premier,24.0,1120,70.0,5.0
Mahindra,7,4583,62000,Diesel,Concessionnaire,Manuel,Premier,25.32,1198,77.0,5.0
Maruti,6,7050,26634,Essence,Concessionnaire,Automatique,Premier,21.21,1197,81.8,5.0
Tata,17,1528,74000,Diesel,Individuel,Manuel,Premier,13.7,1948,68.0,7.0
Maruti,6,8989,40000,Essence,Individuel,Manuel,Premier,17.5,1373,91.1,7.0
Mahindra,8,6756,110000,Diesel,Individuel,Manuel,Deuxième,14.02,2179,118.3,8.0
Maruti,10,6463,240000,Diesel,Individuel,Manuel,Premier,23.4,1248,74.0,5.0
Ford,12,2115,90000,Diesel,Individuel,Manuel,Troisième,20.0,1399,68.0,5.0
Honda,4,9153,7032,Essence,Autre connexion,Automatique,Premier,19.0,1199,88.76,5.0
Maruti,7,7050,70000,Diesel,Individuel,Manuel,Premier,25.2,1248,74.0,5.0
Toyota,8,5992,100000,Diesel,Individuel,Manuel,Deuxième,23.59,1364,67.05,5.0
Hyundai,6,10105,40000,Diesel,Individuel,Manuel,Deuxième,22.0,1582,126.2,5.0
Skoda,11,2233,110000,Diesel,Individuel,Manuel,Premier,21.0,1199,75.0,5.0
Toyota,5,16450,13534,Essence,Concessionnaire,Manuel,Premier,14.28,1798,138.03,5.0
Toyota,10,9988,120000,Diesel,Individuel,Manuel,Deuxième,12.99,2494,100.57,8.0
Volkswagen,9,5053,100000,Essence,Individuel,Manuel,Premier,15.04,1598,103.2,5.0
Hyundai,8,8401,50000,Diesel,Individuel,Manuel,Premier,22.54,1396,88.73,5.0
Mahindra,10,3525,40000,Diesel,Individuel,Manuel,Premier,17.21,1493,100.0,7.0
Hyundai,11,2115,70000,Essence,Individuel,Manuel,Premier,17.92,1086,62.1,5.0
Maruti,16,411,10000,Essence,Individuel,Manuel,Premier,16.1,796,37.0,4.0
Hyundai,13,3055,60000,Essence,Individuel,Manuel,Premier,20.36,1197,78.9,5.0
Hyundai,5,4465,25000,Essence,Individuel,Manuel,Premier,21.1,814,55.2,5.0
Hyundai,11,4113,120000,Diesel,Individuel,Manuel,Troisième,22.32,1582,126.32,5.0
Hyundai,8,11750,50000,Diesel,Individuel,Manuel,Premier,19.67,1582,126.2,5.0
Maruti,8,3701,29000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Tata,6,9400,60000,Diesel,Individuel,Manuel,Premier,14.1,2179,147.94,7.0
Maruti,7,6463,60000,Diesel,Individuel,Manuel,Deuxième,26.59,1248,74.0,5.0
Toyota,11,6110,162000,Diesel,Individuel,Manuel,Quatrième,12.8,2494,102.0,7.0
Ford,13,2644,100000,Diesel,Individuel,Manuel,Deuxième,17.8,1399,68.0,5.0
Maruti,6,5875,35000,Diesel,Individuel,Manuel,Premier,28.4,1248,74.0,5.0
Honda,4,9400,10000,Diesel,Individuel,Manuel,Premier,27.4,1498,98.63,5.0
Hyundai,7,4536,44000,Essence,Individuel,Manuel,Deuxième,19.1,1197,82.0,5.0
Hyundai,9,2585,60000,Essence,Individuel,Manuel,Deuxième,21.1,814,55.2,5.0
Autres,11,3525,77000,Diesel,Individuel,Manuel,Premier,20.4,1248,91.7,5.0
Autres,11,3349,70000,Diesel,Individuel,Manuel,Deuxième,20.3,1248,92.0,5.0
Tata,8,4465,40000,Essence,Individuel,Manuel,Premier,17.57,1193,88.7,5.0
Mahindra,17,4113,90000,Diesel,Individuel,Manuel,Premier,12.7,2609,116.6,8.0
Maruti,16,1763,75000,Essence,Individuel,Manuel,Premier,19.7,796,46.3,5.0
Mahindra,7,6463,150000,Diesel,Individuel,Manuel,Premier,15.96,2523,63.0,9.0
Honda,6,7638,25000,Essence,Individuel,Manuel,Premier,18.7,1199,88.7,5.0
Hyundai,6,6463,50000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Maruti,5,9694,82000,Diesel,Individuel,Manuel,Premier,28.09,1248,88.5,5.0
Volkswagen,12,4113,120000,Diesel,Individuel,Manuel,Deuxième,15.0,1896,105.0,5.0
Autres,8,4406,67000,Diesel,Individuel,Manuel,Premier,20.4,1248,91.7,5.0
Honda,17,3173,70000,Essence,Individuel,Manuel,Deuxième,17.7,1497,78.0,5.0
Toyota,10,11750,190000,Diesel,Individuel,Manuel,Premier,12.99,2494,100.6,8.0
Volkswagen,9,6756,28100,Essence,Concessionnaire,Automatique,Premier,0.0,1197,103.25,5.0
Mahindra,17,2938,185000,Diesel,Individuel,Manuel,Premier,12.7,2609,116.6,9.0
Maruti,3,8578,1500,Essence,Individuel,Manuel,Premier,21.21,1197,81.8,5.0
Honda,11,3643,50000,Essence,Individuel,Manuel,Deuxième,19.4,1198,86.8,5.0
Ford,6,7050,25000,Essence,Individuel,Manuel,Troisième,18.16,1196,86.8,5.0
Maruti,7,7755,55000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Maruti,7,7050,147000,Diesel,Individuel,Manuel,Deuxième,26.59,1248,74.0,5.0
Maruti,13,2585,120000,Diesel,Individuel,Manuel,Premier,21.1,1248,73.9,5.0
Tata,16,3525,110000,Essence,Individuel,Manuel,Deuxième,12.0,2092,127.0,7.0
Hyundai,8,4700,100000,Essence,Individuel,Automatique,Premier,16.9,1197,81.86,5.0
Honda,8,7873,60000,Diesel,Individuel,Manuel,Premier,25.1,1498,98.6,5.0
Ford,4,10646,30000,Diesel,Individuel,Manuel,Premier,23.0,1498,98.96,5.0
Tata,6,4113,60000,Essence,Individuel,Manuel,Premier,23.84,1199,84.0,5.0
Mahindra,8,10575,70000,Diesel,Individuel,Manuel,Troisième,15.4,2179,120.0,7.0
Hyundai,11,4113,80000,Essence,Individuel,Manuel,Premier,17.92,1086,62.1,5.0
Mahindra,9,11515,120000,Diesel,Individuel,Manuel,Deuxième,15.1,2179,140.0,7.0
Maruti,8,5405,80000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Honda,7,5288,100000,Diesel,Individuel,Manuel,Deuxième,24.2,1498,98.6,7.0
Maruti,15,1763,100000,Essence,Individuel,Manuel,Quatrième,15.0,1586,104.68,5.0
Maruti,6,8813,30000,Diesel,Individuel,Manuel,Premier,28.4,1248,74.02,5.0
Maruti,7,9694,33500,Diesel,Individuel,Manuel,Premier,23.65,1248,88.5,5.0
Mahindra,3,5640,44665,Diesel,Individuel,Manuel,Premier,25.32,1198,77.0,6.0
Renault,8,7050,125000,Diesel,Individuel,Manuel,Premier,21.04,1461,83.8,8.0
Maruti,18,1528,140000,Essence,Individuel,Manuel,Deuxième,18.9,998,67.1,5.0
Ford,8,5875,60000,Diesel,Individuel,Manuel,Premier,25.83,1498,99.0,5.0
Maruti,10,2644,58343,Essence,Autre connexion,Manuel,Premier,21.79,998,67.05,5.0
Nissan,11,3760,70000,Essence,Individuel,Manuel,Deuxième,16.95,1498,97.7,5.0
Maruti,10,5288,108800,Diesel,Individuel,Manuel,Troisième,22.9,1248,74.0,5.0
Maruti,17,1110,44000,Essence,Individuel,Manuel,Premier,19.7,796,46.3,5.0
Hyundai,14,1763,80000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Maruti,6,3466,35000,Essence,Individuel,Manuel,Premier,24.7,796,47.3,5.0
Hyundai,5,6756,15000,Essence,Individuel,Automatique,Premier,17.36,1197,81.86,5.0
Mahindra,14,5581,120000,Diesel,Individuel,Manuel,Premier,12.05,2179,120.0,7.0
Skoda,5,21914,50000,Essence,Concessionnaire,Automatique,Premier,14.67,1798,177.46,5.0
Toyota,10,9400,80000,Diesel,Individuel,Manuel,Premier,12.99,2494,100.0,7.0
Hyundai,12,2644,80000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Maruti,15,1304,110000,Essence,Individuel,Manuel,Troisième,15.6,1586,104.68,5.0
Renault,4,7638,5000,Essence,Individuel,Manuel,Premier,20.0,999,72.0,7.0
Volvo,4,44650,20000,Diesel,Individuel,Automatique,Premier,18.0,1969,190.0,5.0
Mahindra,8,12338,80000,Diesel,Individuel,Manuel,Deuxième,15.4,2179,120.0,7.0
Mahindra,5,4935,31000,Diesel,Individuel,Manuel,Premier,25.32,1198,77.0,6.0
Maruti,4,7168,10000,Essence,Individuel,Automatique,Premier,21.21,1197,81.8,5.0
Volkswagen,12,4559,80000,Diesel,Individuel,Manuel,Deuxième,22.07,1199,73.9,5.0
Maruti,12,3819,70000,Diesel,Individuel,Manuel,Premier,22.9,1248,74.0,5.0
